congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
112,House,20300,41,1,AL,200,0,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-146.62502,0.9,1390,57,,0.31,0.506
112,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.354,0.459,-156.56382,0.89588,1424,65,,0.291,0.659
112,House,21102,41,7,AL,100,0,1,"SEWELL, Terri",S001185,1965,,-0.391,0.402,-259.07946,0.83051,1395,93,,-0.364,0.329
112,House,21192,41,2,AL,200,0,1,"ROBY, Martha",R000591,1976,,0.361,0.657,-149.42681,0.90052,1426,61,,0.36,0.59
112,House,21193,41,5,AL,200,0,1,"BROOKS, Mo",B001274,1954,,0.647,-0.447,-246.62526,0.84149,1429,102,,0.564,-0.142
112,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-182.54918,0.876,1382,78,,0.339,0.342
112,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.368,0.594,-181.55895,0.88022,1423,79,,0.327,0.601
112,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.022,-370.41345,0.7477,1274,154,,0.338,-0.052
112,House,20100,61,6,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-192.73056,0.8707,1392,71,,0.913,-0.408
112,House,20304,61,2,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-198.19888,0.86938,1416,83,,0.689,0.002
112,House,20305,61,7,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.256,-171.16163,0.88391,1387,69,,-0.655,-0.113
112,House,20701,61,8,AZ,100,1,1,"GIFFORDS, Gabrielle",G000554,1970,,-0.11,0.076,,,,,,-0.542,0.841
112,House,21103,61,1,AZ,200,0,1,"GOSAR, Paul",G000565,1958,,0.676,-0.419,-281.30246,0.81511,1376,111,,0.507,-0.069
112,House,21104,61,3,AZ,200,0,1,"QUAYLE, Ben",Q000024,1976,,0.712,0.222,-154.5331,0.893,1371,74,,0.705,0.179
112,House,21105,61,5,AZ,200,0,1,"SCHWEIKERT, David",S001183,1962,,0.59,-0.325,-186.84456,0.87695,1423,69,,0.644,-0.256
112,House,21199,61,8,AZ,100,2,2,"BARBER, Ron",B001279,1945,,-0.123,0.001,-73.55459,0.727,231,26,,-0.3,0.226
112,House,29101,61,4,AZ,100,0,1,"PASTOR, Ed",P000099,1943,,-0.421,0.12,-300.85852,0.808,1412,152,,-0.475,0.267
112,House,20102,42,4,AR,100,0,1,"ROSS, Michael Avery",R000573,1961,,-0.201,0.89,-422.32622,0.738,1387,192,,-0.114,0.722
112,House,21106,42,1,AR,200,0,1,"CRAWFORD, Rick",C001087,1966,,0.409,0.495,-137.96775,0.90772,1425,62,,0.322,0.604
112,House,21107,42,2,AR,200,0,1,"GRIFFIN, Tim",G000567,1968,,0.41,0.421,-162.76919,0.892,1423,74,,0.424,0.292
112,House,21108,42,3,AR,200,0,1,"WOMACK, Steve",W000809,1957,,0.355,0.59,-128.26854,0.91444,1434,54,,0.308,0.574
112,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,,-0.631,-0.605,-160.84025,0.888,1354,69,,-0.587,-0.596
112,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-201.30439,0.864,1377,90,,-0.458,-0.425
112,House,14280,71,30,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-174.19722,0.883,1401,66,,-0.428,-0.216
112,House,14644,71,41,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,,0.348,-0.101,-186.97801,0.861,1246,66,,0.295,0.271
112,House,14647,71,3,CA,200,0,1,"LUNGREN, Daniel Edward",L000517,1946,,0.497,-0.054,-260.3908,0.833,1424,122,,0.355,0.267
112,House,14813,71,26,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-248.0076,0.839,1417,112,,0.345,0.267
112,House,15005,71,28,CA,100,0,1,"BERMAN, Howard Lawrence",B000410,1941,,-0.404,-0.286,-217.35245,0.851,1352,92,,-0.368,-0.087
112,House,15413,71,24,CA,200,0,1,"GALLEGLY, Elton W.",G000021,1944,,0.402,-0.1,-194.95235,0.864,1333,74,,0.367,0.204
112,House,15420,71,2,CA,200,0,1,"HERGER, Walter William (Wally)",H000528,1945,,0.551,0.117,-136.48577,0.905,1374,52,,0.572,0.274
112,House,15448,71,8,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-160.56134,0.88644,1332,71,,-0.439,-0.05
112,House,15621,71,46,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-294.46089,0.81129,1408,126,,0.631,-0.475
112,House,20103,71,15,CA,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-158.77275,0.89,1361,66,,-0.529,-0.514
112,House,20104,71,29,CA,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.349,-0.128,-188.87066,0.87635,1431,71,,-0.343,-0.057
112,House,20107,71,49,CA,200,0,1,"ISSA, Darrell",I000056,1953,,0.506,-0.085,-162.63855,0.89062,1404,53,,0.53,0.171
112,House,20108,71,53,CA,100,0,1,"DAVIS, Susan A.",D000598,1944,,-0.344,-0.106,-197.56948,0.87028,1422,78,,-0.346,-0.048
112,House,20306,71,18,CA,100,0,1,"CARDOZA, Dennis A.",C001050,1959,,-0.262,0.609,-479.67818,0.651,1119,236,,-0.227,0.541
112,House,20307,71,21,CA,200,0,1,"NUNES, Devin",N000181,1973,,0.449,0.214,-164.27299,0.89025,1413,72,,0.463,0.323
112,House,20310,71,39,CA,100,0,1,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.137,-161.4889,0.8859,1333,64,,-0.485,-0.255
112,House,20501,71,20,CA,100,0,1,"COSTA, Jim",C001059,1952,,-0.191,0.466,-609.43202,0.64113,1371,301,,-0.172,0.518
112,House,20538,71,5,CA,100,0,1,"MATSUI, Doris",M001163,1944,,-0.434,-0.161,-171.95783,0.88655,1428,78,,-0.424,-0.228
112,House,20539,71,48,CA,200,0,1,"CAMPBELL, John (of California)",C001064,1955,,0.748,-0.415,-297.99902,0.799,1331,138,,0.919,-0.395
112,House,20702,71,11,CA,100,0,1,"McNERNEY, Jerry",M001166,1951,,-0.262,-0.15,-263.51722,0.83073,1421,97,,-0.319,0.014
112,House,20703,71,22,CA,200,0,1,"MCCARTHY, Kevin",M001165,1965,,0.459,0.211,-133.07028,0.90957,1404,47,,0.471,0.34
112,House,20752,71,37,CA,100,0,1,"RICHARDSON, Laura",R000581,1962,,-0.339,-0.022,-319.85278,0.795,1398,135,,-0.301,-0.091
112,House,20762,71,12,CA,100,0,1,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.381,-0.447,-220.33163,0.84388,1298,80,,-0.341,-0.42
112,House,20903,71,4,CA,200,0,1,"McCLINTOCK, Tom",M001177,1956,,0.719,-0.473,-291.06802,0.81595,1431,124,,0.919,-0.395
112,House,20955,71,32,CA,100,2,2,"CHU, Judy",C001080,1953,,-0.486,-0.378,-150.28815,0.89752,1390,60,,-0.506,-0.32
112,House,20958,71,10,CA,100,2,2,"GARAMENDI, John",G000559,1945,,-0.309,-0.095,-289.44568,0.80893,1365,122,,-0.346,-0.142
112,House,20963,71,52,CA,200,0,1,"HUNTER, Duncan Duane",H001048,1976,,0.539,0.085,-187.34515,0.87648,1421,80,,0.588,0.281
112,House,21109,71,19,CA,200,0,1,"DENHAM, Jeff",D000612,1967,,0.306,0.212,-216.83402,0.85699,1405,94,,0.408,0.19
112,House,21110,71,33,CA,100,0,1,"BASS, Karen",B001270,1953,,-0.585,-0.106,-143.75291,0.89674,1319,59,,-0.524,-0.206
112,House,21195,71,36,CA,100,2,2,"HAHN, Janice",H001063,1952,,-0.39,-0.376,-85.76862,0.9,812,34,,-0.43,-0.229
