congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
113,House,1,2013-01-03,1,2,220,192,0.061,0.358,-0.747,0.288,-0.316,,Boehner,,Election of the Speaker,
113,House,2,2013-01-03,1,3,224,187,0.056,0.197,-0.732,0.309,-0.302,HRES5,Passed,Adopting rules for the One Hundred Thirteenth Congress,On Motion to Table the Motion to Refer,
113,House,3,2013-01-03,1,4,227,191,0.155,0.562,-0.724,0.438,-5.339,HRES5,Passed,Adopting rules for the One Hundred Thirteenth Congress,On Ordering the Previous Question,
113,House,4,2013-01-03,1,5,194,229,0.135,0.976,0.771,-0.249,-4.66,HRES5,Failed,Adopting rules for the One Hundred Thirteenth Congress,On Motion to Commit,
113,House,5,2013-01-03,1,6,228,196,0.168,0.695,-0.721,0.461,-5.361,HRES5,Passed,Adopting rules for the One Hundred Thirteenth Congress,On Agreeing to the Resolution,
113,House,6,2013-01-04,1,7,354,67,0.586,-0.254,1.333,-0.592,-93.698,HR41,Passed,To temporarily increase the borrowing authority of the Federal Emergency Management Agency for carrying out the National Flood Insurance Program,On Motion to Suspend the Rules and Pass,
113,House,7,2013-01-14,1,8,403,0,0.0,0.0,0.0,0.0,0.0,HR219,Passed,"To improve and streamline disaster assistance for Hurricane Sandy, and for other purposes",On Motion to Suspend the Rules and Pass,
113,House,8,2013-01-14,1,9,300,95,0.776,-0.423,0.067,-0.114,-219.802,,Passed,,On Approving the Journal,
113,House,9,2013-01-14,1,10,4,397,0.0,0.0,0.0,0.0,0.0,,Failed,,On Motion to Adjourn,
113,House,10,2013-01-15,1,11,293,127,-0.277,0.186,-0.21,0.13,-119.266,HRES23,Passed,"Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",On Ordering the Previous Question,
113,House,11,2013-01-15,1,12,367,52,-0.2,0.98,-0.142,0.294,-128.201,HRES23,Passed,"Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",On Agreeing to the Resolution,
113,House,12,2013-01-15,1,13,0,419,0.0,0.0,0.0,0.0,0.0,,Failed,,On Motion to Adjourn,
113,House,13,2013-01-15,1,14,162,259,0.317,-0.516,-0.198,0.056,-115.641,HR152,Failed,,On Agreeing to the Amendment,
113,House,14,2013-01-15,1,15,327,91,0.536,-0.003,1.335,-0.435,-102.53,HR152,Agreed to,,On Agreeing to the Amendment,
113,House,15,2013-01-15,1,16,221,197,0.23,-0.35,-0.223,-0.374,-55.755,HR152,Agreed to,,On Agreeing to the Amendment,
113,House,16,2013-01-15,1,17,206,214,0.218,-0.153,-0.218,-0.115,-67.25,HR152,Failed,,On Agreeing to the Amendment,
113,House,17,2013-01-15,1,18,202,217,0.21,0.059,-1.213,-1.476,-62.06,HR152,Failed,,On Agreeing to the Amendment,
113,House,18,2013-01-15,1,19,216,205,0.178,-0.473,-0.243,-0.092,-49.543,HR152,Agreed to,,On Agreeing to the Amendment,
113,House,19,2013-01-15,1,20,208,212,0.349,-0.902,-0.261,-0.236,-69.824,HR152,Failed,,On Agreeing to the Amendment,
113,House,20,2013-01-15,1,21,223,198,0.039,0.17,-0.237,-0.339,-39.402,HR152,Agreed to,,On Agreeing to the Amendment,
113,House,21,2013-01-15,1,22,228,192,0.234,0.965,1.334,0.166,-80.027,HR152,Agreed to,,On Agreeing to the Amendment,
113,House,22,2013-01-15,1,23,242,180,0.324,-0.344,1.355,0.379,-83.242,HR152,Passed,"Making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",On Passage,
113,House,23,2013-01-22,1,24,395,29,0.782,-0.228,1.514,-0.326,-64.975,HR307,Passed,"To reauthorize certain programs under the Public Health Service Act and the Federal Food, Drug, and Cosmetic Act with respect to public health security and all-hazards preparedness and response, and for other purposes",On Motion to Suspend the Rules and Pass,
113,House,24,2013-01-22,1,25,0,416,0.0,0.0,0.0,0.0,0.0,,Failed,,On Motion to Adjourn,
113,House,25,2013-01-23,1,26,232,193,-0.024,0.287,-0.706,0.625,-7.764,HRES39,Passed,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Ordering the Previous Question,
113,House,26,2013-01-23,1,27,234,190,-0.038,0.156,-1.298,-0.091,-21.402,HRES39,Passed,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Agreeing to the Resolution,
113,House,27,2013-01-23,1,28,291,129,0.793,-0.609,0.022,-0.175,-253.226,,Passed,,On Approving the Journal,
113,House,28,2013-01-23,1,29,151,277,0.164,0.986,0.164,-0.276,-132.358,HR325,Failed,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Motion to Recommit with Instructions,
113,House,29,2013-01-23,1,30,285,144,-0.593,0.805,-0.176,-0.312,-187.923,HR325,Passed,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Passage,
113,House,30,2013-02-04,1,31,375,27,0.724,-0.507,1.261,-0.115,-52.383,HR225,Passed,"To amend title IV of the Public Health Service Act to provide for a National Pediatric Research Network, including with respect to pediatric rare diseases or conditions",On Motion to Suspend the Rules and Pass,
